Unnamed: 0,MM/DD/YYYY,YEAR,MONTH,DAY,TMAX,TMIN
48935,2003-01-01,2003,1,1,100.0,22.0
48936,2003-01-02,2003,1,2,28.0,-17.0
48937,2003-01-03,2003,1,3,11.0,-17.0
48938,2003-01-04,2003,1,4,22.0,-6.0
48939,2003-01-05,2003,1,5,22.0,0.0
48940,2003-01-06,2003,1,6,11.0,-11.0
48941,2003-01-07,2003,1,7,-11.0,-33.0
48942,2003-01-08,2003,1,8,61.0,-28.0
48943,2003-01-09,2003,1,9,100.0,33.0
48944,2003-01-10,2003,1,10,89.0,-6.0
48945,2003-01-11,2003,1,11,0.0,-39.0
48946,2003-01-12,2003,1,12,17.0,-50.0
48947,2003-01-13,2003,1,13,44.0,-39.0
48948,2003-01-14,2003,1,14,-22.0,-67.0
48949,2003-01-15,2003,1,15,-11.0,-56.0
48950,2003-01-16,2003,1,16,-17.0,-72.0
48951,2003-01-17,2003,1,17,-11.0,-117.0
48952,2003-01-18,2003,1,18,-61.0,-139.0
48953,2003-01-19,2003,1,19,-22.0,-83.0
48954,2003-01-20,2003,1,20,0.0,-72.0
48955,2003-01-21,2003,1,21,-33.0,-89.0
48956,2003-01-22,2003,1,22,-56.0,-117.0
48957,2003-01-23,2003,1,23,-67.0,-128.0
48958,2003-01-24,2003,1,24,-28.0,-139.0
48959,2003-01-25,2003,1,25,-6.0,-67.0
48960,2003-01-26,2003,1,26,11.0,-28.0
48961,2003-01-27,2003,1,27,-22.0,-133.0
48962,2003-01-28,2003,1,28,-39.0,-139.0
48963,2003-01-29,2003,1,29,6.0,-39.0
48964,2003-01-30,2003,1,30,11.0,-39.0
48965,2003-01-31,2003,1,31,33.0,0.0
48966,2003-02-01,2003,2,1,28.0,11.0
48967,2003-02-02,2003,2,2,72.0,28.0
48968,2003-02-03,2003,2,3,100.0,22.0
48969,2003-02-04,2003,2,4,89.0,28.0
48970,2003-02-05,2003,2,5,28.0,-33.0
48971,2003-02-06,2003,2,6,0.0,-61.0
48972,2003-02-07,2003,2,7,6.0,-44.0
